url,headword
http://www.stoa.org/sol-entries/alpha/201,"Ἀγέροπτος"
http://www.stoa.org/sol-entries/alpha/202,"Ἀγερωχία"
http://www.stoa.org/sol-entries/alpha/203,"Ἄγεστα"
http://www.stoa.org/sol-entries/alpha/204,"Ἄγεται"
http://www.stoa.org/sol-entries/alpha/205,"Ἄγετε"
http://www.stoa.org/sol-entries/alpha/206,"Ἄγετος"
http://www.stoa.org/sol-entries/alpha/207,"Ἄγευστος θοίνης"
http://www.stoa.org/sol-entries/alpha/208,"Ἀγγείδιον"
http://www.stoa.org/sol-entries/alpha/209,"Ἄγειν καὶ φέρειν"
http://www.stoa.org/sol-entries/alpha/210,"Ἀγείρας"
http://www.stoa.org/sol-entries/alpha/211,"Ἀγείρει"
http://www.stoa.org/sol-entries/alpha/212,"Ἄγη"
http://www.stoa.org/sol-entries/alpha/213,"Ἀγηγέρατο"
http://www.stoa.org/sol-entries/alpha/214,"Ἀγηλατεῖν"
http://www.stoa.org/sol-entries/alpha/215,"Ἀγηλατεῖν"
http://www.stoa.org/sol-entries/alpha/216,"Ἀγηλατοί"
http://www.stoa.org/sol-entries/alpha/217,"Ἀγῆλαι"
http://www.stoa.org/sol-entries/alpha/218,"Ἀγήλειεν"
http://www.stoa.org/sol-entries/alpha/219,"Ἄγημα"
http://www.stoa.org/sol-entries/alpha/220,"Ἄγημα"
http://www.stoa.org/sol-entries/alpha/221,"Ἀγηνορίη"
http://www.stoa.org/sol-entries/alpha/222,"Ἀγηνόριον"
http://www.stoa.org/sol-entries/alpha/223,"Ἀγήνωρ"
http://www.stoa.org/sol-entries/alpha/224,"Ἀγηοχώς"
http://www.stoa.org/sol-entries/alpha/225,"Ἀγήραον"
http://www.stoa.org/sol-entries/alpha/226,"Ἀγηρηναῖοι"
http://www.stoa.org/sol-entries/alpha/227,"Ἀγήρω"
http://www.stoa.org/sol-entries/alpha/228,"Ἀγησαγόρας"
http://www.stoa.org/sol-entries/alpha/229,"Ἀγησίλαος"
http://www.stoa.org/sol-entries/alpha/230,"Ἀγήτας"
http://www.stoa.org/sol-entries/alpha/231,"Ἀγητός"
http://www.stoa.org/sol-entries/alpha/232,"Ἁγιάσατε"
http://www.stoa.org/sol-entries/alpha/233,"Ἁγιάσαι"
http://www.stoa.org/sol-entries/alpha/234,"Ἁγίασμα"
http://www.stoa.org/sol-entries/alpha/235,"Ἁγίζων"
http://www.stoa.org/sol-entries/alpha/236,"Ἀγιναργεῖος"
http://www.stoa.org/sol-entries/alpha/237,"Ἀγίνεον"
http://www.stoa.org/sol-entries/alpha/238,"Ἅγιος, ἅγιος, ἅγιος κύριος"
http://www.stoa.org/sol-entries/alpha/239,"Ἄγις, Ἄγιδος"
http://www.stoa.org/sol-entries/alpha/240,"Ἁγίσαι καὶ καθαγίσαι"
http://www.stoa.org/sol-entries/alpha/241,"Ἁγιστεύειν"
http://www.stoa.org/sol-entries/alpha/242,"Ἁγιστείας"
http://www.stoa.org/sol-entries/alpha/243,"Ἀγκαλίδα"
